PAGES 2k ID,ocean 2k ID,preceded by,superseded by,archive type,reference 1 doi,reference 2 doi,original data URL,lat (°),long (°),elevation (m),site name,Country/Ocean,min year,max year,resolution (yr),proxy,variable name,units,climate variable detail,seasonality,direction,QC comments,QC certification,link to data at WDC-paleo
Asi_058,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,34.78,100.82,4000,HBLXJP,China,1520,2002,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HBLXJP.PAGES2k.2013.txt
Asi_059,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,34.78,100.82,3300,HBMXJP,China,1310,2002,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HBMXJP.PAGES2k.2013.txt
Asi_060,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,34.78,100.82,2100,HBHXJP,China,1500,2002,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-HBHXJP.PAGES2k.2013.txt
Asi_061,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,33.75,107.8,2700,BARELC,China,1600,1992,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-BARELC.PAGES2k.2013.txt
Asi_062,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/5352,34.48,110.08,4050,CHIN004,China,1540,1990,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN004.Wu.2013.txt
Asi_063,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,33.65,107.8,3750,SANGTS,China,1575,1992,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-SANGTS.PAGES2k.2013.txt
Asi_064,,,,tree,10.1126/science.1185188,,https://www.ncdc.noaa.gov/paleo/study/12610,43.85,93.3,4150,CHIN029,China,1571,2002,1,TRW,trsgi,NA,air@surface,annual,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN029.Krusic.2010.txt
Asi_065,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,30.33,119.43,3539,TIANMU,China,1590,2007,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-TIANMU.PAGES2k.2013.txt
Asi_066,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,37.03,98.68,3040,WULANJ,China,150,2000,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-WULANJ.PAGES2k.2013.txt
Asi_067,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,33.8,96.13,3400,QUMAJP,China,1480,2002,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-QUMAJP.PAGES2k.2013.txt
