PAGES 2k ID,ocean 2k ID,preceded by,superseded by,archive type,reference 1 doi,reference 2 doi,original data URL,lat (°),long (°),elevation (m),site name,Country/Ocean,min year,max year,resolution (yr),proxy,variable name,units,climate variable detail,seasonality,direction,QC comments,QC certification,link to data at WDC-paleo
Asi_098,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15156,36.68,98.42,3000,CHIN064,China,900,2001,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN064.Shao.2013.txt
Asi_099,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15157,32.67,95.72,4500,CHIN065,China,1290,2006,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN065.Shao.2013.txt
Asi_100,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15158,33.72,96.28,3500,CHIN066,China,1374,2002,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN066.Shao.2013.txt
Asi_217,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14928,31.95,98.87,3300,CHIN042,China,1519,1996,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN042.Brauning.2013.txt
Asi_218,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15129,31.12,97.03,2500,CHIN047,China,1406,1994,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN047.Brauning.2013.txt
Asi_219,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15131,31.23,96.48,3500,CHIN049,China,1547,1994,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN049.Brauning.2013.txt
Asi_220,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14929,29.3,91.97,3900,CHIN043,China,1217,1998,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN043.Brauning.2013.txt
Asi_221,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15128,31.12,97.03,3150,CHIN046,China,449,2004,1,TRW,trsgi,NA,air@surface,summer,positive,,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN046.Brauning.2013.txt
Asi_222,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14948,29.07,93.95,2400,CHIN044,China,1047,1993,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN044.Brauning.2013.txt
Asi_223,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15048,29.62,94.67,2300,CHIN045,China,1568,1993,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN045.Brauning.2013.txt
Asi_224,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/15130,30.3,91.52,700,CHIN048,China,1080,1998,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CHIN048.Brauning.2013.txt
Asi_225,,,,tree,10.1007/s00382-012-1611-x,,https://www.ncdc.noaa.gov/paleo/study/14188,29.35,92,2900,CENTIB,China,1285,2008,1,TRW,trsgi,NA,air@surface,summer,positive,Elevation estimated from GoogleEarth; rounded to 100 m,"Ed Cook, Kevin J. Anchukaitis",https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-CENTIB.PAGES2k.2013.txt
Asi_231,,,,lake sediment,10.1177/0959683611430413,,this study,42.17,126.36,1000,Sihailongwa lake,China,392,2002,19,alkenone,temperature,degC,lake@surface,growing season,positive,Elevation estimated from GoogleEarth; rounded to 100 m,Chenxi Xu,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-SihailongwaLake.Chu.2011.txt
Asi_232,,,,glacier ice,10.1126/science.289.5486.1916,,https://www.ncdc.noaa.gov/paleo/study/11180,28.38,85.72,7200,Dasuopu,China,1450,1996,1,d18O,d18O,permil,air@condensationLevel,1 2 3 4 5 6 7 8 9 10 11 12,positive,Oxygen isotopes show positive correlation with NH temperature anomalies. Elevation estimated from GoogleEarth; rounded to 100 m,Chenxi Xu,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-Dasuopu.Thompson.2000.txt
Asi_238,,,,glacier ice,10.1126/science.276.5320.1821,,https://www.ncdc.noaa.gov/paleo/study/12426,35.28,81.48,6200,Guliya,China,5,1985,10,d18O,d18O,permil,air@condensationLevel,1 2 3 4 5 6 7 8 9 10 11 12,positive,d18O in ice core in northern Tibetan Plateau is a proxy of temperature. Elevation estimated from GoogleEarth; rounded to 100 m,Chenxi Xu,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-Guliya.Thompson.1997.txt
Asi_243,,,,glacier ice,10.3189/172756406781812357,,https://www.ncdc.noaa.gov/paleo/study/11929,33.9167,89.0833,6070,Puruogangri,China,5,1995,10,d18O,d18O,permil,air@condensationLevel,1 2 3 4 5 6 7 8 9 10 11 12,positive,d18O in ice core in northern Tibetan Plateau is a proxy of temperature. Elevation estimated from GoogleEarth; rounded to 100 m,Chenxi Xu,https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-current-version/Asi-Puruogangri.Thompson.2006.txt
