ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
313,BHAVNAGAR INDIA (INDIA),21.80N,72.20E,1882-9-01,435.6,616.9363
314,BHAVNAGAR INDIA (INDIA),21.80N,72.20E,1883-9-01,584.5,616.9363
316,SURAT INDIA (INDIA),21.20N,72.80E,1882-9-01,1283.2,1121.7405
317,SURAT INDIA (INDIA),21.20N,72.80E,1883-9-01,952.1,1121.7405
318,SURAT INDIA (INDIA),21.20N,72.80E,1884-9-01,1313.0,1121.7405
319,BROACH INDIA (INDIA),21.70N,73.00E,1882-9-01,1023.6,917.4458
320,BROACH INDIA (INDIA),21.70N,73.00E,1883-9-01,1143.0,917.4458
321,BROACH INDIA (INDIA),21.70N,73.00E,1884-9-01,1392.5,917.4458
322,JALGAON INDIA (INDIA),21.10N,75.60E,1882-9-01,1072.9,782.7276
323,JALGAON INDIA (INDIA),21.10N,75.60E,1883-9-01,871.5,782.7276
324,JALGAON INDIA (INDIA),21.10N,75.60E,1884-9-01,738.2,782.7276
325,BETUL INDIA (INDIA),21.90N,77.90E,1882-9-01,866.7,1171.9987
326,BETUL INDIA (INDIA),21.90N,77.90E,1883-9-01,1235.0,1171.9987
327,BETUL INDIA (INDIA),21.90N,77.90E,1884-9-01,1293.9,1171.9987
328,NAGPUR SONEGAON INDIA (INDIA),21.10N,79.10E,1882-9-01,1385.1,1163.1772
329,NAGPUR SONEGAON INDIA (INDIA),21.10N,79.10E,1883-9-01,1558.6,1163.1772
330,NAGPUR SONEGAON INDIA (INDIA),21.10N,79.10E,1884-9-01,1428.3,1163.1772
331,BHANDARA INDIA (INDIA),21.20N,79.70E,1882-9-01,1533.6,1361.7081
332,BHANDARA INDIA (INDIA),21.20N,79.70E,1883-9-01,1746.0,1361.7081
333,BHANDARA INDIA (INDIA),21.20N,79.70E,1884-9-01,1578.3,1361.7081
334,BULSAR INDIA (INDIA),20.60N,72.90E,1882-9-01,1917.0,1802.3248
335,BULSAR INDIA (INDIA),20.60N,72.90E,1883-9-01,1715.8,1802.3248
336,BULSAR INDIA (INDIA),20.60N,72.90E,1884-9-01,2314.5,1802.3248
337,AHWA INDIA (INDIA),20.80N,73.70E,1882-9-01,1599.1,1765.034
338,AHWA INDIA (INDIA),20.80N,73.70E,1883-9-01,1944.1,1765.034
