ID,Location Name,Latitude,Longitude,Date,Annual Rainfall (mm),Annual Avg Rainfall (mm)
85,STEYNSBURG SOUTH AFRI(SOUTH AFRICA),-31.30N,25.83E,1882-9-01,375.9,423.4957
87,STEYNSBURG SOUTH AFRI(SOUTH AFRICA),-31.30N,25.83E,1884-9-01,249.6,423.4957
88,COLESBERG (TNK) SOUTH AFRI(SOUTH AFRICA),-30.72N,25.10E,1882-9-01,308.1,389.5516
89,COLESBERG (TNK) SOUTH AFRI(SOUTH AFRICA),-30.72N,25.10E,1883-9-01,404.4,389.5516
90,COLESBERG (TNK) SOUTH AFRI(SOUTH AFRICA),-30.72N,25.10E,1884-9-01,213.4,389.5516
92,DORDRECHT (TNK) SOUTH AFRI(SOUTH AFRICA),-31.37N,27.05E,1883-9-01,620.8,592.678
93,DORDRECHT (TNK) SOUTH AFRI(SOUTH AFRICA),-31.37N,27.05E,1884-9-01,324.3,592.678
94,TARKASTAD (POL) SOUTH AFRI(SOUTH AFRICA),-32.00N,26.27E,1882-9-01,363.2,440.1093
96,TARKASTAD (POL) SOUTH AFRI(SOUTH AFRICA),-32.00N,26.27E,1884-9-01,374.7,440.1093
97,UMTATA - AER SOUTH AFRI(SOUTH AFRICA),-31.53N,28.67E,1882-9-01,626.0,644.3192
98,UMTATA - AER SOUTH AFRI(SOUTH AFRICA),-31.53N,28.67E,1883-9-01,504.0,644.3192
99,UMTATA - AER SOUTH AFRI(SOUTH AFRICA),-31.53N,28.67E,1884-9-01,351.0,644.3192
100,PIKETBERG (POL) SOUTH AFRI(SOUTH AFRICA),-32.90N,18.75E,1882-9-01,562.7,477.6544
101,PIKETBERG (POL) SOUTH AFRI(SOUTH AFRICA),-32.90N,18.75E,1883-9-01,403.1,477.6544
102,PIKETBERG (POL) SOUTH AFRI(SOUTH AFRICA),-32.90N,18.75E,1884-9-01,470.7,477.6544
103,WORCESTER (TNK) SOUTH AFRI(SOUTH AFRICA),-33.65N,19.43E,1882-9-01,339.5,270.1226
104,WORCESTER (TNK) SOUTH AFRI(SOUTH AFRICA),-33.65N,19.43E,1883-9-01,172.7,270.1226
105,WORCESTER (TNK) SOUTH AFRI(SOUTH AFRICA),-33.65N,19.43E,1884-9-01,262.9,270.1226
106,SUTHERLAND SOUTH AFRI(SOUTH AFRICA),-32.38N,20.67E,1882-9-01,350.0,248.2969
